ia_fund_name,ia_management_company,ia_sector,isin,resolved_name,status,confidence,triage_reason
GAM Multistock - Emerging Markets Equity,GAM (Luxembourg) S.A.,Global Emerging Markets,LU1112791790,GAM Multistock - Emerging Markets Equity GBP A,matched,1.0,
Goldman Sachs Emerging Markets Equity Portfolio,Goldman Sachs Asset Management Fund Services Limited,Global Emerging Markets,LU2696088033,Goldman Sachs Emerging Markets Equity Portfolio I Acc GBP,matched,1.0,
Goldman Sachs Emerging Markets CORE Equity Portfolio,Goldman Sachs Asset Management Fund Services Limited,Global Emerging Markets,LU1984513553,Goldman Sachs Emerging Markets CORE Equity Portfolio I Acc GBP,matched,1.0,
Goldman Sachs Emerging Markets Equity ESG Portfolio,Goldman Sachs Asset Management Fund Services Limited,Global Emerging Markets,LU2240265012,Goldman Sachs Emerging Markets Equity ESG Portfolio I Acc GBP,matched,1.0,
Goldman Sachs Multi-Manager Emerging Markets Equity Portfolio,Goldman Sachs Asset Management Fund Services Limited,Global Emerging Markets,LU0344077119,Goldman Sachs Funds II - Goldman Sachs Multi-Manager Emerging Markets Equity Portfolio I USD Acc,matched,0.9658,
GQG Partners Emerging Markets Equity Fund,GQG Partners LLC,Global Emerging Markets,AU60ETL45811,GQG Partners Emerging Markets Equity Fund Z Class,matched,1.0,
Guinness Emerging Markets Equity Income Fund,Guinness Asset Management Ltd,Global Emerging Markets,IE00BMYPND87,Guinness Emerging Markets Equity Income Fund I USD Acc,matched,1.0,
HL Emerging Markets,Hargreaves Lansdown Fund Managers Limited,Global Emerging Markets,GB00BSD99P77,HL Emerging Markets Fund A Acc,matched,0.97,
Driehaus Emerging Markets Sustainable Equity Fund,Heptagon Capital Limited,Global Emerging Markets,IE00B6RSJ564,Heptagon Fund ICAV - Driehaus Emerging Markets Equity Fund I USD Acc,review,0.7974,no decisive brand/region/style signal
Federated Hermes Global Emerging Markets Equity Fund,Hermes Fund Managers Ireland Limited,Global Emerging Markets,IE00B3DJ5K90,Federated Hermes Global Emerging Markets Equity Fund Class F GBP Accumulating,matched,0.9774,
Federated Hermes Global Emerging Markets Ex-China Equity Fund,Hermes Fund Managers Ireland Limited,Global Emerging Markets,IE00B3DJ5K90,Federated Hermes Global Emerging Markets Equity Fund Class F GBP Accumulating,rejected,0.838,candidate is global but IA is region-specific {'china'}
HSBC GIF Global Emerging Markets Equity,HSBC Asset Management (Fund Services UK) Limited,Global Emerging Markets,LU1649339626,HSBC Global Investment Funds - Global Emerging Markets Equity BC,matched,0.8733,
Invesco Emerging Markets ex China Fund (UK,Invesco,Global Emerging Markets,GB00B8N44B34,Invesco Emerging Markets ex China Fund (UK) Z (Acc),matched,0.968,
Invesco Global Emerging Markets Fund (UK),Invesco,Global Emerging Markets,GB00B8N46731,Invesco Global Emerging Markets Fund (UK) Z (Acc),matched,1.0,
Invesco Developing Markets Equity Fund,Invesco,Global Emerging Markets,US00143W8753,Invesco Developing Markets Fund Class Y,matched,0.9108,
JOHCM Global Emerging Markets Opportunities Fund,J O Hambro Capital Management Limited,Global Emerging Markets,IE000YBPZOS4,JOHCM Global Emerging Markets Opportunities Fund S1 GBP Inc,matched,1.0,
JPM Emerging Markets Fund,J.P. Morgan Asset Management,Global Emerging Markets,GB00BD02KW80,JPM Emerging Markets Fund X - Net Accumulation,matched,0.9817,
JP Morgan Emerging Markets Small Cap Fund,J.P. Morgan Asset Management,Global Emerging Markets,,,unresolved,,
JPM Emerging Markets Fund,J.P. Morgan Asset Management,Global Emerging Markets,GB00BD02KW80,JPM Emerging Markets Fund X - Net Accumulation,matched,0.9817,
JPMorgan Funds - Emerging Markets Opportunities Fund,J.P. Morgan Asset Management,Global Emerging Markets,LU0802113760,JPMorgan Funds - Emerging Markets Opportunities Fund I (acc) EUR,matched,1.0,
JPMorgan Fund ICVC - JPM Emerging Markets Sustainable Equity Fund,J.P. Morgan Asset Management,Global Emerging Markets,,,unresolved,,
Janus Henderson Emerging Markets Opportunities Fund,Janus Henderson Investors,Global Emerging Markets,GB00B87M3G18,Janus Henderson Emerging Markets Opportunities Fund I Acc,matched,1.0,
Jupiter Global Emerging Markets Fund,Jupiter Unit Trust Managers Limited,Global Emerging Markets,GB00BJJQ4X28,Jupiter Global Emerging Markets Fund J Acc,matched,1.0,
Jupiter Global Emerging Markets Focus Fund,Jupiter Unit Trust Managers Limited,Global Emerging Markets,GB00BJJQ4X28,Jupiter Global Emerging Markets Fund J Acc,matched,0.9286,
Lazard Emerging Markets Equity Fund,Lazard Fund Managers (Ireland) Limited,Global Emerging Markets,IE00BDX8CP03,Lazard Emerging Markets Equity Fund A Acc GBP,matched,1.0,
Lazard Emerging Markets Fund,Lazard Fund Managers Limited,Global Emerging Markets,GB00B24F1G74,Lazard Emerging Markets Fund A Acc GBP,matched,1.0,
Lazard Developing Markets Fund,Lazard Fund Managers Limited,Global Emerging Markets,GB00B3QRKV62,Lazard Developing Markets Fund A Acc,matched,1.0,
Liontrust Emerging Markets Fund,Liontrust Investment Partners LLP,Global Emerging Markets,GB00B8J6SV12,Liontrust Emerging Markets Fund C Acc GBP,matched,1.0,
LO Funds - Emerging High Conviction,Lombard Odier Funds (Europe) S.A.,Global Emerging Markets,LU0957989691,LO Funds - Emerging High Conviction (GBP) NA,matched,0.9684,
M&G Global Emerging Markets Fund,M&G Securities Limited,Global Emerging Markets,GB00B3FFXX47,M&G Global Emerging Markets Fund Sterling I Acc,matched,0.9585,
MGTS AFH DA Global Emerging Markets Equity Fund,Margetts Fund Management Ltd,Global Emerging Markets,GB00BYXG9S39,MGTS AFH DA Fund - MGTS AFH DA Global Emerging Markets Equity Fund I GBP Accumulation,matched,0.9143,
Matthews Emerging Markets Equity Fund,Matthews International Capital Management LLC,Global Emerging Markets,US5771306512,Matthews Emerging Markets Equity Fund Investor Class Shares,matched,0.94,
Matthews Emerging Markets ex China Equity Fund,Matthews International Capital Management LLC,Global Emerging Markets,LU2651608320,Matthews Asia Funds - Emerging Markets ex China Equity Fund I GBP,matched,1.0,
Matthews Emerging Markets Discovery Fund,Matthews International Capital Management LLC,Global Emerging Markets,US5771257434,Matthews Emerging Markets Discovery Active ETF,matched,0.9785,
McInroy & Wood Emerging Markets Fund,McInroy & Wood Portfolios Ltd,Global Emerging Markets,GB00BMWG4W92,McInroy & Wood Emerging Markets Fund Acc,matched,1.0,
MFS Meridian Emerging Markets Equity Fund,MFS International (UK) Ltd,Global Emerging Markets,US55273E8553,MFS Emerging Markets Equity Fund Class I,matched,0.8785,
Morgan Stanley Emerging Leaders Equity,Morgan Stanley Investment Management Ltd,Global Emerging Markets,LU0864381354,Morgan Stanley Investment Funds - Emerging Leaders Equity Fund I,matched,0.9724,
Nedgroup Investments Funds PLC Global Emerging Markets Equity Fund,Nedgroup Investment Funds Plc,Global Emerging Markets,,,unresolved,,
Neuberger Berman Emerging Markets Equity Fund,Neuberger Berman Investment Fund Plc,Global Emerging Markets,IE00BKJ9SX65,Neuberger Berman Emerging Markets Equity Fund GBP Z Accumulating Class,matched,0.9653,
Ninety One Emerging Markets Leaders Fund,Ninety One Fund Managers UK Limited,Global Emerging Markets,LU0960220779,Ninety One Global Strategy Fund - Emerging Markets Equity Fund I Acc EUR,review,0.78,no decisive brand/region/style signal
Ninety One Emerging Markets Equity Fund,Ninety One Fund Managers UK Limited,Global Emerging Markets,LU0960220779,Ninety One Global Strategy Fund - Emerging Markets Equity Fund I Acc EUR,matched,0.9344,
Ninety One GSF Emerging Markets Equity Fund,Ninety One Fund Managers UK Limited,Global Emerging Markets,LU0960220779,Ninety One Global Strategy Fund - Emerging Markets Equity Fund I Acc EUR,matched,0.8867,
American Century Emerging Markets Equity Fund,Nomura Asset Management U.K. Ltd,Global Emerging Markets,US0250868777,American Century Emerging Markets Fund I Class,matched,0.88,
American Century Sustainable Impact Emerging Markets Equity Fund,Nomura Asset Management U.K. Ltd,Global Emerging Markets,,,unresolved,,
Nomura Emerging Markets Fund,Nomura Fund Solutions,Global Emerging Markets,US2459145106,Nomura Emerging Markets Fund Class R6,matched,1.0,
Nordea 1 – Emerging Sustainable Stars Equity Fund,Nordea Asset Management,Global Emerging Markets,LU2028912926,Nordea 1 - Emerging Sustainable Stars Equity Fund AC SEK,matched,1.0,
Orbis SICAV Emerging Markets Equity Fund,Orbis Investment Management (Luxembourg) SA,Global Emerging Markets,LU3174518491,Orbis SICAV Emerging Markets Equity Fund Fixed Fee Share Class (C),matched,0.9303,
Pacific North of South EM All Cap Equity,Pacific Capital UCITS Funds plc,Global Emerging Markets,IE00BFZ4H223,Pacific North of South EM All Cap Equity I GBP Income,matched,1.0,
Pacific North of South Global Emerging Markets Equity,Pacific Capital UCITS Funds plc,Global Emerging Markets,IE000OF59JM2,Pacific North of South Global Emerging Markets Equity Z GBP Acc,matched,1.0,
Pacific North of South EM Equity Income Opportunities,Pacific Capital UCITS Funds plc,Global Emerging Markets,IE0001MAJDZ3,Pacific North of South EM Equity Income Opportunities I GBP Acc,matched,1.0,
Barrow Hanley Concentrated Emerging Markets ESG Fund,Perpetual Investment Services Europe Limited,Global Emerging Markets,IE000TVY4CS1,PISE ICAV - Barrow Hanley Concentrated Emerging Markets ESG Fund Class I Acc GBP,matched,0.9321,
PGIM Funds Plc - PGIM Jennison Emerging Markets Equity Fund,PGIM Investments,Global Emerging Markets,,,unresolved,,
PGIM Funds Plc - PGIM QMA Emerging Markets All Cap Equity Fund,PGIM Investments,Global Emerging Markets,,,unresolved,,
Pictet Emerging Markets,Pictet Asset Management Ltd,Global Emerging Markets,LU0859479742,Pictet-Emerging Markets Index I GBP,matched,0.9711,
Pictet Emerging Markets Index,Pictet Asset Management Ltd,Global Emerging Markets,LU0859479742,Pictet-Emerging Markets Index I GBP,matched,1.0,
Aikya Global Emerging Markets Fund - UCITS,Pinnacle Investment,Global Emerging Markets,IE00BFZWS891,Tages International Funds ICAV - Tages Dalton Global Emerging Markets UCITS Fund USD Class B,unresolved,0.6522,
Polar Capital Funds Plc - Emerging Markets Stars Fund,Polar Capital Funds Plc,Global Emerging Markets,IE00BFMFDD19,Polar Capital Funds PLC - Emerging Market Stars Fund I USD Acc,matched,0.9553,
Origin Global Emerging Markets Fund,Principal Global Investors (Ireland) Limited,Global Emerging Markets,US74256W6185,Principal Global Emerging Markets Fund Class R6,review,0.8509,no decisive brand/region/style signal
Quilter Investors Emerging Markets Equity Growth Fund,Quilter Investors Limited,Global Emerging Markets,GB00B9BQ9X50,Quilter Investors Emerging Markets Equity Growth Fund A (GBP) Accumulation,matched,1.0,
Quilter Investors Emerging Markets Equity Income Fund,Quilter Investors Limited,Global Emerging Markets,GB00BZ191N08,Quilter Investors Emerging Markets Equity Fund U2 (GBP) Accumulation,matched,1.0,
Quilter Investors Emerging Markets Equity Income Fund,Quilter Investors Limited,Global Emerging Markets,GB00BZ191N08,Quilter Investors Emerging Markets Equity Fund U2 (GBP) Accumulation,matched,1.0,
Redwheel Global Emerging Markets,Redwheel,Global Emerging Markets,LU1324052809,Redwheel Global Emerging Markets Fund Class B GBP Acc,matched,1.0,
TM Redwheel Global Emerging Markets Fund,Redwheel,Global Emerging Markets,GB00BN6JGD69,TM Redwheel Global Emerging Markets Fund E GBP ACC,matched,1.0,
Redwheel Next Generation Emerging Markets Equity Fund,Redwheel,Global Emerging Markets,LU1940965269,Redwheel Next Generation Emerging Markets Equity Fund B GBP Acc,matched,1.0,
Redwheel Sustainable Emerging Markets Fund,Redwheel,Global Emerging Markets,LU2670376719,Redwheel Sustainable Emerging Markets Fund I GBP Acc,matched,1.0,
Robeco Emerging Stars Equities,Robeco Capital Growth Funds SICAV,Global Emerging Markets,LU0254839870,Robeco Capital Growth Funds - Robeco Emerging Stars Equities I EUR,matched,0.8886,
Robeco QI Emerging Conservative Equities,Robeco Capital Growth Funds SICAV,Global Emerging Markets,LU0875838053,Robeco QI Emerging Conservative Equities I £,matched,1.0,
Robeco Emerging Markets Equities,Robeco Capital Growth Funds SICAV,Global Emerging Markets,LU2895059975,Robeco QI Emerging Markets Active Equities I GBP,matched,0.9653,
Royal London Emerging Markets ESG Leaders Equity Tracker Fund,Royal London Asset Management Limited,Global Emerging Markets,,,unresolved,,
Schroder Global Emerging Markets Fund,Schroder Unit Trusts Limited,Global Emerging Markets,GB00B76V5Q67,Schroder Global Emerging Markets Fund Z Accumulation GBP,matched,1.0,
Scottish Widows Emerging Markets Fund,Scottish Widows Unit Trust Managers,Global Emerging Markets,GB0031904252,Scottish Widows Emerging Markets Fund A Acc,matched,1.0,
T. Rowe Price Funds SICAV Emerging Markets Equity,T. Rowe Price International Limited,Global Emerging Markets,LU0133084979,T. Rowe Price Funds SICAV - Emerging Markets Equity Fund I,matched,1.0,
T. Rowe Price Funds SICAV - Emerging Markets Discovery Equity Fund,T. Rowe Price International Limited,Global Emerging Markets,LU1244138340,T. Rowe Price Funds SICAV - Emerging Markets Discovery Equity Fund I,matched,1.0,
T. Rowe Price Funds SICAV - Emerging Markets Discovery Equity Fund,T. Rowe Price International Limited,Global Emerging Markets,LU1244138340,T. Rowe Price Funds SICAV - Emerging Markets Discovery Equity Fund I,matched,1.0,
MI Polen Capital Emerging Markets Dividend Growth Fund,The Northern Trust Company,Global Emerging Markets,,,unresolved,,
UBS Global Emerging Markets Equity Fund,UBS Asset Management Funds Ltd,Global Emerging Markets,GB00B7L34154,UBS Global Emerging Markets Equity Fund Class C Accumulation Shares (Net),matched,0.9637,
UBS Global Emerging Markets Equity Climate Transition Fund,UBS Asset Management Funds Ltd,Global Emerging Markets,GB00BN96GJ05,UBS Global Emerging Markets Equity Climate Transition Fund C GBP Acc,matched,1.0,
Vanguard Global Emerging Markets Fund,Vanguard Investments UK Limited,Global Emerging Markets,GB00BZ82ZY13,Vanguard Global Emerging Markets Fund GBP Acc,matched,1.0,
Vontobel Fund - mtx Emerging Markets Leaders,Vontobel Asset Management SA,Global Emerging Markets,LU0571085686,Vontobel Fund - mtx Emerging Markets Leaders I USD Cap,matched,1.0,
Vontobel Fund II - mtx Emerging Markets Sustainability Champions,Vontobel Asset Management SA,Global Emerging Markets,LU2056571420,Vontobel Fund II - mtx Emerging Markets Sustainability Champions I USD Cap,matched,1.0,
Wellington Emerging Markets Research Equity Fund,Wellington Management,Global Emerging Markets,LU1912699854,Wellington Emerging Markets Research Equity Fund GBP N Ac,matched,1.0,
Wellington Emerging Markets Research Equity Core Fund,Wellington Management,Global Emerging Markets,LU1912699854,Wellington Emerging Markets Research Equity Fund GBP N Ac,matched,0.9558,
Ashoka WhiteOak Emerging Markets Equity Fund,White Oak Capital Management (UK) Ltd,Global Emerging Markets,IE00086ISIM2,Ashoka WhiteOak ICAV - Ashoka WhiteOak Emerging Markets Equity Fund Class A GBP Accumulation,matched,0.9234,
Global Dynamic Dividend Fund,abrdn Investments Luxembourg S.A.,Global Equity Income,US00302M1062,abrdn Global Dynamic Dividend Fund,matched,0.9908,
Aegon Global Equity Income Fund,Aegon Asset Management UK plc,Global Equity Income,IE000AUXFHF1,Aegon Global Equity Income Fund USD X Acc,matched,1.0,
Global Equity Enhanced Income Fund,Allspring Global Investments (UK) Limited,Global Equity Income,IE000XB87GV0,Royal London Global Equity Enhanced R GBP Income,review,0.8475,no decisive brand/region/style signal
Artemis Global Income Fund,Artemis Fund Managers Ltd,Global Equity Income,GB00B5ZX1M70,Artemis Global Income Fund I Acc,matched,1.0,
Aviva Investors Global Equity Income Fund,Aviva Investors UK Fund Services Limited,Global Equity Income,GB0030441918,Aviva Investors Global Equity Income Fund 1 GBP Acc,matched,1.0,
AXA Global Equity Income Fund,AXA IM UK Limited,Global Equity Income,US47103X4925,Janus Henderson Global Equity Income Fund Class I,unresolved,0.6417,
Baillie Gifford Global Income Growth Fund,Baillie Gifford & Co Limited,Global Equity Income,GB0005772362,Baillie Gifford Global Income Growth Fund A Accumulation,matched,1.0,
Baillie Gifford Responsible Global Equity Income Fund,Baillie Gifford & Co Limited,Global Equity Income,GB00BFM4CT76,Baillie Gifford Responsible Global Equity Income Fund B Accumulation,matched,1.0,
GlobalAccess Global Equity Income Fund,Barclays Multi Manager Fund PLC,Global Equity Income,IE00B6RTSS55,GlobalAccess Global Equity Income Fund Z Acc USD,matched,0.9778,
BlackRock Global Income,BlackRock Investment Management (UK) Limited,Global Equity Income,GB00B3R9X560,BlackRock Global Income Fund A Acc,matched,1.0,
BNY Mellon Global Income Fund,BNY Mellon Fund Managers Limited,Global Equity Income,GB00B7XK5M25,BNY Mellon Investment Funds - BNY Mellon Global Income Fund B Accumulation,matched,0.8117,all distinctive IA tokens present and brand agrees
BNY Mellon Sustainable Global Equity Income,BNY Mellon Fund Managers Limited,Global Equity Income,IE00B5MRW182,BNY Mellon Sustainable Global Equity Fund EUR B Acc,matched,1.0,
Capital Group World Dividend Growers (LUX) Z GBP,Capital Group LUX,Global Equity Income,LU0939078688,Capital Group World Dividend Growers (LUX) Z,matched,1.0,
CT Sustainable Global Equity Income Fund,Columbia Threadneedle,Global Equity Income,GB00BPCS4T30,CT Sustainable Global Equity Income Fund 2 GBP Acc,matched,0.9793,
COURTIERS Global (Ex UK) Equity Income Fund,COURTIERS Asset Management Limited,Global Equity Income,GB00BYXVWX45,COURTIERS Global (ex UK) Equity Income I Shares Accumulation,matched,0.9794,
CT Global Equity Income Fund,CT Investment Services Ltd,Global Equity Income,GB00B99MQF62,CT Global Equity Income Fund Z Accumulation GBP,matched,1.0,
Fidelity Responsible Global Equity Income,Fidelity International,Global Equity Income,GB00BT8PX558,Fidelity Investment Funds IX - Fidelity Responsible Global Equity Income Fund L Acc,matched,0.8987,
Fidelity Global Dividend Fund,Fidelity International,Global Equity Income,LU1033663052,Fidelity Funds - Global Dividend Fund W-Acc-GBP,matched,1.0,
Fidelity Global Enhanced Income Fund,Fidelity International,Global Equity Income,GB00BKDZ1K85,Fidelity Global Enhanced Income Fund I Inc,matched,1.0,
Lapis Global Top 50 Dividend Yield Fund,FundPartner Solutions (Europe) S.A,Global Equity Income,LU1394762717,Protea SICAV-Lapis Global Top 50 Dividend Yield Fund Na GBP Inc,matched,0.9231,
Goldman Sachs Global Equity Income Portfolio,Goldman Sachs Asset Management Fund Services Limited,Global Equity Income,LU0234571304,Goldman Sachs Global Equity Income Portfolio I Acc USD,matched,1.0,
Guinness Global Equity Income Fund,Guinness Asset Management Ltd,Global Equity Income,IE00BVYPNV92,Guinness Global Equity Income C GBP Accumulation,matched,1.0,
HL Global Equity Income,Hargreaves Lansdown Fund Managers Limited,Global Equity Income,GB00BN0XKS72,HL Global Equity Income Fund Class Z GBP Income,matched,0.9647,
Invesco Global Equity Fund (UK),Invesco,Global,GB00B8N45Y36,Invesco Global Equity Fund (UK) Z (Acc),matched,1.0,
IFSL Evenlode Global Income,Investment Fund Services Limited,Global Equity Income,GB00BF1QMV61,IFSL Evenlode Global Income Fund B Accumulation GBP,matched,0.9714,
IFSL Pinnacle Global Equity Income Fund,Investment Fund Services Limited,Global Equity Income,GB00BTJT8X92,IFSL Pinnacle Life Cycle Global Equity Income Fund X GBP Income,matched,0.8836,
JPM Global Equity Income Fund,J.P. Morgan Asset Management,Global Equity Income,GB00B1YX7005,JPM Global Equity Income Fund B - Net Accumulation,matched,0.97,
Janus Henderson Global Equity Fund,Janus Henderson Investors,Global,US47103X4925,Janus Henderson Global Equity Income Fund Class I,matched,1.0,
Jupiter Merian Global Equity Income Fund (IRL),Jupiter Unit Trust Managers Limited,Global Equity Income,IE00BYM83B10,Jupiter Merian Global Equity Income Fund (IRL) I GBP Acc,matched,1.0,
Lazard Global Equity Income Fund,Lazard Fund Managers Limited,Global Equity Income,GB00B24DNZ47,Lazard Global Equity Income Fund A Acc,matched,1.0,
Liontrust Global Dividend Fund,Liontrust Investment Partners LLP,Global Equity Income,GB00B9225P64,Liontrust Global Dividend Fund C Acc GBP,matched,1.0,
M&G Global Dividend Fund,M&G Securities Limited,Global Equity Income,LU2307576822,M&G (Lux) Global Dividend Fund EUR JI Inc,matched,1.0,
Mirabaud - Sustainable Global High Dividend,Mirabaud Asset Management (Europe) S.A,Global Equity Income,NL0014926404,Kempen Umbrella Fund I - Sustainable Global High Dividend Fund N,review,0.7716,no decisive brand/region/style signal
Morgan Stanley Global Brands Equity Income,Morgan Stanley Investment Management Ltd,Global Equity Income,LU1378880170,Morgan Stanley Investment Funds - Global Brands Equity Income Fund Z,matched,0.966,
Premier Miton Global Sustainable Optimum Income,Premier Portfolio Managers Limited,Global Equity Income,,,unresolved,,
Quilter Investors Global Equity Value Fund,Quilter Investors Limited,Global Equity Income,GB00B8SFP856,Quilter Investors Global Equity Value Fund U2 (GBP) Accumulation,matched,1.0,
TM Redwheel Global Equity Income Fund,Redwheel,Global Equity Income,GB00BMBQNC30,TM Redwheel Global Equity Income Fund Class E Accumulation,matched,1.0,
Redwheel Responsible Global Income Fund,Redwheel,Global Equity Income,LU2580227770,Redwheel Responsible Global Income Fund I GBP Acc,matched,1.0,
Royal London Global Equity Income Fund,Royal London Asset Management Limited,Global Equity Income,GB00BPJLYJ59,Royal London Global Equity Income Fund Class Z Accumulation,matched,1.0,
Sarasin Global Dividend,Sarasin Investment Funds Limited,Global Equity Income,GB00BGDF8C13,Sarasin Global Dividend Fund (Class I Acc),matched,1.0,
Schroder Global Equity Fund,Schroder Unit Trusts Limited,Global,GB0007646309,Schroder Global Equity Fund I Accumulation GBP,matched,1.0,
RGI Global Income and Growth,SVM Asset Management Ltd,Global Equity Income,GB00BTLMGR60,RGI Global Income and Growth Fund B Acc,matched,0.9727,
T. Rowe Price Funds OEIC - Global Dividend Equity Fund,T. Rowe Price International Limited,Global Equity Income,GB00BV6M3296,T. Rowe Price Funds OEIC - Global Dividend Equity Fund C Acc,matched,1.0,
UBS Global Enhanced Equity Income Fund,UBS Asset Management Funds Ltd,Global Equity Income,GB00BL0RSN63,UBS Global Enhanced Equity Income Fund C Acc,matched,1.0,
VT Vanneck Global Equity Income Fund,Valu-Trac Investment Management Limited,Global Equity Income,GB00BJ4G2B16,VT Vanneck Global Equity Income Fund Fund B GBP Accumulation,matched,0.976,
Kempen (Lux) Global High Dividend Fund,Van Lanschot Kempen Investment Management,Global Equity Income,LU0873662356,Kempen (Lux) Global High Dividend Fd Class I GBP,matched,0.9492,
Vanguard Global Equity Fund,Vanguard Investments UK Limited,Global,GB00BZ82ZT69,Vanguard Global Equity Fund Accumulation,matched,1.0,
Veritas Global Equity Income Fund,Veritas Asset Management (UK) Ltd,Global Equity Income,IE00B45WS264,Veritas Global Equity Income C GBP Acc,matched,1.0,
Thornburg Equity Income Builder,Waystone Fund Management (IE) Ltd,Global Equity Income,IE000MHQIF92,Thornburg Equity Income Builder Fund Class I EUR Accumulating (Hedged),review,0.8571,no decisive brand/region/style signal
Trojan Global Income fund,Waystone Management (UK) Limited,Global Equity Income,GB00BD82KR56,Trojan Global Income Fund I Accumulation,matched,0.9571,
Atlas Global Equity Income Fund,Waystone Management (UK) Limited,Global Equity Income,GB00BD8RLG68,Schroder Global Equity Fund L Income GBP,unresolved,0.6853,
WS Guinness Global Equity Income Fund,Waystone Management (UK) Limited,Global Equity Income,GB00BNGFN776,WS Guinness Global Equity Income Fund Y GBP Accumulation,matched,0.9769,
Trojan Ethical Global Income Fund,Waystone Management (UK) Limited,Global Equity Income,GB00BRJQGB03,Trojan Ethical Global Income Fund X GBP Accumulation,matched,0.9727,
Wellington Global Equity Income Fund,Wellington Management,Global Equity Income,LU2552457249,Wellington Global Equity Income Fund - EUR S AccU,matched,0.9836,
YFS Chawton Global Equity Income Fund,Yealand Fund Services Limited,Global Equity Income,GB00BJ1GXX37,YFS Chawton Global Equity Income Fund B GBP Accumulation,matched,0.9769,
AB SICAV I - International Health Care Portfolio,AllianceBernstein (Luxembourg) S.à r.l.,Healthcare and Biotechnology,LU0251855366,AB SICAV I - International Health Care Portfolio Class I EUR Acc,matched,0.9806,
AXA Framlington Health Fund,AXA IM UK Limited,Healthcare and Biotechnology,GB00B6WZJX05,AXA Framlington Health Fund Z Acc,matched,1.0,
JSS Sustainable Equity - Future Health,Bank J. Safra Sarasin Ltd,Healthcare and Biotechnology,LU2041626974,JSS Investmentfonds II - JSS Sustainable Equity - Future Health I CHF acc,review,0.8454,no decisive brand/region/style signal
Candriam Equities L Oncology Impact,CANDRIAM Investors Group,Healthcare and Biotechnology,LU1864482515,Candriam Equities L Oncology Fund Class I GBP Cap,matched,0.9191,
Fidelity Funds - Global Health Care Fund,Fidelity International,Healthcare and Biotechnology,LU1668149443,Fidelity Funds - Global Healthcare Fund I-Acc-EUR,review,0.8273,no decisive brand/region/style signal
Goldman Sachs Global Future Health Care Equity Portfolio,Goldman Sachs Asset Management Fund Services Limited,Healthcare and Biotechnology,LU2243635674,Goldman Sachs Global Future Health Care Equity Portfolio I EUR Acc,matched,1.0,
Invesco Global Health Care Fund,Invesco,Healthcare and Biotechnology,US00142R2655,Invesco Health Care Fund Class R6,matched,0.835,all distinctive IA tokens present and brand agrees
Janus Henderson Global Life Sciences Equity Fund,Janus Henderson Investors,Healthcare and Biotechnology,GB00BPXXDL25,Janus Henderson Global Life Sciences Equity Fund I Acc GBP,matched,1.0,
Polar Capital Funds Plc - Healthcare Opportunities Fund,Polar Capital Funds Plc,Healthcare and Biotechnology,IE00BF12WY77,Polar Capital Funds PLC - Polar Capital Healthcare Opportunities Fund I Acc,matched,0.9557,
Polar Capital Funds Plc - Healthcare Blue Chip Fund,Polar Capital Funds Plc,Healthcare and Biotechnology,,,unresolved,,
Polar Capital Funds PLC - Healthcare Discovery Fund,Polar Capital Funds Plc,Healthcare and Biotechnology,IE00BF12WY77,Polar Capital Funds PLC - Polar Capital Healthcare Opportunities Fund I Acc,review,0.7282,no decisive brand/region/style signal
Schroder Global Healthcare Fund,Schroder Unit Trusts Limited,Healthcare and Biotechnology,GB00B76V7Q08,Schroder Global Healthcare Fund Z Accumulation GBP,matched,1.0,
T. Rowe Price Health Sciences Eq Q,T. Rowe Price International Limited,Healthcare and Biotechnology,LU2349435961,Select Investment Series III SICAV - T. Rowe Price Health Sciences Equity Fund Q,review,0.8333,no decisive brand/region/style signal
Wellington Global Health Care Equity Fund,Wellington Management,Healthcare and Biotechnology,IE00BDZVH743,Wellington Global Health Care Equity Fund GBP N A1 Di,matched,1.0,
Indian Equity Fund,abrdn Investments Luxembourg S.A.,India/Indian Subcontinent,LU3282207847,Nordea 1 - Indian Equity Fund BC GBP,review,0.8105,no decisive brand/region/style signal
Alquity India Fund,Alquity Investment Management Limited,India/Indian Subcontinent,,,unresolved,,
JSS Responsible Equity - India,Bank J. Safra Sarasin Ltd,India/Indian Subcontinent,LU2106616977,JSS Equity - India I CHF Acc,unresolved,0.7174,
BlackRock Global Funds India,BlackRock Investment Management (UK) Limited,India/Indian Subcontinent,LU0250163515,BlackRock Global Funds - India Fund A4,matched,1.0,
Comgest Growth India,Comgest Asset Management International Limited,India/Indian Subcontinent,IE00BD5HXH43,Comgest Growth India EUR I Acc,matched,1.0,
Fidelity Funds – India Focus Fund,Fidelity International,India/Indian Subcontinent,LU2439728929,Fidelity Funds - India Focus Fund I-Acc-GBP,matched,1.0,
Stewart Investors Indian Subcontinent Sustainability Fund,First Sentier Investors,India/Indian Subcontinent,GB00B1FXTG93,Stewart Investors Indian Subcontinent All Cap Fund Class B (Accumulation) GBP,review,0.817,no decisive brand/region/style signal
FSSA Indian Subcontinent All Cap Fund,First Sentier Investors,India/Indian Subcontinent,GB00BDG1BM66,FSSA Indian Subcontinent All-Cap Fund B GBP (Acc),matched,0.9818,
Franklin India Fund,Franklin Templeton International Services S.à r.l,India/Indian Subcontinent,LU0708995666,Franklin India Fund A(acc)HKD,matched,0.9691,
