ia_fund_name,ia_management_company,ia_sector,isin,resolved_name,status,confidence,triage_reason
Fidelity Funds – Global Industrials Fund,Fidelity International,Global,LU2822569674,Fidelity Funds - Global Industrials Fund I-Acc-EUR,matched,1.0,
Fidelity Global Special Situations Fund,Fidelity International,Global,GB00B196XG23,Fidelity Global Special Situations Fund A Acc,matched,1.0,
Fidelity Open World Fund,Fidelity International,Global,GB00B8ZQDX23,Fidelity Investment Funds IV - Fidelity Open World Fund A Acc,matched,0.8219,all distinctive IA tokens present and brand agrees
Fidelity Allocator World Fund,Fidelity International,Global,GB00B9777B62,Fidelity Investment Funds IV - Fidelity Allocator World Fund W Accumulation,matched,0.8545,all distinctive IA tokens present and brand agrees
Fidelity Funds - Sustainable Water & Waste Fund,Fidelity International,Global,,,unresolved,,
Stewart Investors Worldwide Select Fund,First Sentier Investors,Global,,,unresolved,,
Stewart Investors Worldwide Sustainability Fund,First Sentier Investors,Global,,,unresolved,,
FI Institutional Global Equity Selection Fund,Fisher Investments Institutional Funds plc,Global,IE00BZ4SV347,FI Institutional Global Equity Selection Fund USDollar Class,matched,0.9393,
FI Institutional Global Small Cap Equity Fund,Fisher Investments Institutional Funds plc,Global,IE00BXC44T78,FI Institutional Global Small Cap Equity Fund GBP Class (Unhedged),matched,1.0,
FI Institutional Global Developed Concentrated Equity Selection Fund,Fisher Investments Institutional Funds plc,Global,IE00BZ4SVD40,FI Institutional Global Developed Concentrated Selection Equity Fund USD Class,matched,0.9333,
FI Institutional Global Developed Equity Fund,Fisher Investments Institutional Funds plc,Global,IE00BZ4STG33,FI Institutional Global Developed Equity Fund USD Class,matched,1.0,
FI Institutional Global Developed Equity Selection Fund,Fisher Investments Institutional Funds plc,Global,IE00BD9BTC95,FI Institutional Global Developed Equity Selection Fund USD Class,matched,1.0,
FI Institutional Quantitative Global Equity Selection Fund,Fisher Investments Institutional Funds plc,Global,IE00BKFHV799,FI Institutional Quantitative Global Equity Selection Fund F USD Class,matched,0.9889,
FI Institutional Global Small Cap Equity Selection Fund,Fisher Investments Institutional Funds plc,Global,IE00BMXWBK35,FI Institutional Global Small Cap Equity Selection Fund USD Acc,matched,1.0,
